title,category,source_page,original_url,canonical_url,filename,declared_type,mime,bytes,sha256,http,is_real_file,host,in_repository,on_new_site,wix_dependency,status
Action Plan — Commitment Statement,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_aed92464d2e5486594b707c9707ea38b.pdf,https://www.rdca.com/_files/ugd/5d13eb_aed92464d2e5486594b707c9707ea38b.pdf,5d13eb_aed92464d2e5486594b707c9707ea38b.pdf,pdf,application/pdf,1745939,3dbb31da2c186fc20fe20685df14c1245106fead73ca2a41ad58e9c5f847058e,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Ball Ordering Instructions,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,https://www.rdca.com/_files/ugd/5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,5d13eb_c7b3d20837664ca0a944321f72b01171.pdf,pdf,application/pdf,896785,f04fa7a34b8d27bae29d194c7e98c358bc7ba7e161244a93fc46765f9aca8dc4,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Business Continuity Plan,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_7a9d4dfb5bac4134932b34845795a179.pdf,https://www.rdca.com/_files/ugd/c846e3_7a9d4dfb5bac4134932b34845795a179.pdf,c846e3_7a9d4dfb5bac4134932b34845795a179.pdf,pdf,application/pdf,242406,8c1f2c28e5ef1c18f5b702d385dd761b03417fe5c8ab74ba79f21850d8bcd6e7,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
RDCA Constitution 2021/22,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,https://www.rdca.com/_files/ugd/93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,93eb8a_bd9553ab5f894123813939041e0ab0ff.pdf,pdf,application/pdf,343301,7e7e142c1f67427573500c3d735045ac630239f46f69c943f54f72e259bc23a7,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Junior Documents,By Section,new site /documents.html (site-data.js),https://www.rdca.com/juniors-documents,https://www.rdca.com/juniors-documents,juniors-documents,hub,text/html,949789,0b1bb6b8a2c5997a4d1e4b5919738c52089b0cb1c57e3643fcc606cf2bb464f6,200,"NO - links to an HTML page, not a document",www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Seniors Documents,By Section,new site /documents.html (site-data.js),https://www.rdca.com/seniors-documents,https://www.rdca.com/seniors-documents,seniors-documents,hub,text/html,987248,191e10d967a2f0d22be15be1c3a53601b5fa1bf926c54f2389c4241671071b2a,200,"NO - links to an HTML page, not a document",www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Umpire Documents,By Section,new site /documents.html (site-data.js),https://www.rdca.com/umpires-documents,https://www.rdca.com/umpires-documents,umpires-documents,hub,text/html,910260,50afc5a312145138877eb3fadac1f41d25394f499dba6f16d41b3098c799e7d6,200,"NO - links to an HTML page, not a document",www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Safeguarding Children & Young People Policy,Child Safety,new site /documents.html (site-data.js),https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/9ddd3384-e1e0-4488-9d3a-dc25eaeefa71/Australian-Cricket-s-Policy-for-Safeguarding-Children-Young-People.pdf,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/9ddd3384-e1e0-4488-9d3a-dc25eaeefa71/Australian-Cricket-s-Policy-for-Safeguarding-Children-Young-People.pdf,Australian-Cricket-s-Policy-for-Safeguarding-Children-Young-People.pdf,pdf,application/pdf,8042179,0c53d1f22b291fc82cc0866aead19a80fa40551b135bd66319854e8010a3a539,200,YES,resources.playcommunity.pulselive.com,NO,LINKED ONLY (hot-linked to old host),NO (third-party),EXTERNAL-DEPENDENCY (third-party)
'Looking After Our Kids' Code of Behaviour,Child Safety,new site /documents.html (site-data.js),https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/7587ce1b-83d1-4c80-aa92-8d085ec1faf0/Australian-Cricket-s-Looking-After-Our-Kids-Code-of-Behaviour.pdf,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/7587ce1b-83d1-4c80-aa92-8d085ec1faf0/Australian-Cricket-s-Looking-After-Our-Kids-Code-of-Behaviour.pdf,Australian-Cricket-s-Looking-After-Our-Kids-Code-of-Behaviour.pdf,pdf,application/pdf,12566694,dfc00f22a9622b7d9bb09737efcc5eefceecbbeabec364c51659d5781457770c,200,YES,resources.playcommunity.pulselive.com,NO,LINKED ONLY (hot-linked to old host),NO (third-party),EXTERNAL-DEPENDENCY (third-party)
Commitment to Safeguarding Children & Young People,Child Safety,new site /documents.html (site-data.js),https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/850b4058-29f6-4d85-a3d8-b44202221d7c/Australian-Cricket-s-Statement-of-Commitment-for-Safeguarding-Children-and-Young-People.pdf,https://resources.playcommunity.pulselive.com/playcommunity/document/2024/11/27/850b4058-29f6-4d85-a3d8-b44202221d7c/Australian-Cricket-s-Statement-of-Commitment-for-Safeguarding-Children-and-Young-People.pdf,Australian-Cricket-s-Statement-of-Commitment-for-Safeguarding-Children-and-Young-People.pdf,pdf,application/pdf,1745939,3dbb31da2c186fc20fe20685df14c1245106fead73ca2a41ad58e9c5f847058e,200,YES,resources.playcommunity.pulselive.com,NO,LINKED ONLY (hot-linked to old host),NO (third-party),EXTERNAL-DEPENDENCY (third-party)
Cricket Victoria Member Protection Policy 2024,Child Safety,new site /documents.html (site-data.js),https://www.cricketvictoria.com.au/wp-content/uploads/2024/11/2024-Member-Protection-Policy.pdf,https://www.cricketvictoria.com.au/wp-content/uploads/2024/11/2024-Member-Protection-Policy.pdf,2024-Member-Protection-Policy.pdf,pdf,application/pdf,357813,17ef2565b9321be6a152a5dac099e865faf6a26d16e7fb07d653585df71778b7,200,YES,www.cricketvictoria.com.au,NO,LINKED ONLY (hot-linked to old host),NO (third-party),EXTERNAL-DEPENDENCY (third-party)
Member Protection Policy By-Law,Child Safety,new site /documents.html (site-data.js),https://www.cricketvictoria.com.au/wp-content/uploads/2021/12/Member-Protection-Policy-ByLaw-07-12-2021.pdf,https://www.cricketvictoria.com.au/wp-content/uploads/2021/12/Member-Protection-Policy-ByLaw-07-12-2021.pdf,Member-Protection-Policy-ByLaw-07-12-2021.pdf,pdf,application/pdf,438364,0f0218d136564d13c7567b7d9c845e819b8f806d1dcdae052c833e9054722732,200,YES,www.cricketvictoria.com.au,NO,LINKED ONLY (hot-linked to old host),NO (third-party),EXTERNAL-DEPENDENCY (third-party)
